,validation,avg,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
37,model_36,0.2479580965909091,0.2744140625,0.2021484375,0.2158203125,0.263671875,0.220703125,0.2724609375,0.2548828125,0.2568359375,0.267578125,0.2314453125,0.27734375,0.265625,0.2353515625,0.26171875,0.2158203125,0.26171875,0.275390625,0.2587890625,0.25,0.1767578125,0.2685546875,0.224609375,0.158203125,0.259765625,0.259765625,0.2666015625,0.27734375,0.267578125,0.2666015625,0.251953125,0.2138671875,0.2353515625,0.240234375,0.189453125,0.2890625,0.220703125,0.2744140625,0.166015625,0.30078125,0.109375,0.298828125,0.2578125,0.26953125,0.2099609375,0.2587890625,0.216796875,0.26953125,0.2763671875,0.296875,0.2900390625,0.26953125,0.251953125,0.26171875,0.2646484375,0.2666015625
38,model_37,0.24689275568181818,0.25390625,0.2158203125,0.189453125,0.259765625,0.2001953125,0.2763671875,0.2451171875,0.25390625,0.2666015625,0.20703125,0.2802734375,0.1982421875,0.236328125,0.2490234375,0.2333984375,0.267578125,0.2841796875,0.2705078125,0.24609375,0.19140625,0.2705078125,0.236328125,0.16015625,0.212890625,0.2607421875,0.2548828125,0.259765625,0.2783203125,0.275390625,0.2646484375,0.1953125,0.25,0.2490234375,0.1943359375,0.2890625,0.2333984375,0.26953125,0.251953125,0.3076171875,0.1025390625,0.298828125,0.2578125,0.24609375,0.208984375,0.265625,0.2470703125,0.27734375,0.2578125,0.28515625,0.2841796875,0.259765625,0.2529296875,0.2666015625,0.2607421875,0.2685546875
39,model_38,0.25150923295454547,0.2744140625,0.2197265625,0.1943359375,0.2490234375,0.21875,0.271484375,0.2548828125,0.248046875,0.267578125,0.236328125,0.2744140625,0.2978515625,0.2177734375,0.2568359375,0.234375,0.2724609375,0.279296875,0.267578125,0.2451171875,0.23046875,0.271484375,0.244140625,0.1591796875,0.2587890625,0.26171875,0.26953125,0.2724609375,0.2783203125,0.2646484375,0.2666015625,0.2197265625,0.2607421875,0.18359375,0.2021484375,0.2900390625,0.240234375,0.2607421875,0.181640625,0.30859375,0.1474609375,0.296875,0.2509765625,0.271484375,0.2197265625,0.2666015625,0.236328125,0.2646484375,0.275390625,0.2978515625,0.2900390625,0.271484375,0.25390625,0.2607421875,0.263671875,0.2607421875
40,model_39,0.25179332386363634,0.259765625,0.2080078125,0.26171875,0.259765625,0.1865234375,0.2724609375,0.2373046875,0.263671875,0.2734375,0.2314453125,0.26171875,0.2314453125,0.2529296875,0.2578125,0.234375,0.2666015625,0.28515625,0.2607421875,0.2373046875,0.2412109375,0.2763671875,0.2294921875,0.171875,0.25390625,0.259765625,0.271484375,0.2744140625,0.27734375,0.26953125,0.2685546875,0.208984375,0.251953125,0.220703125,0.2109375,0.291015625,0.2275390625,0.2578125,0.21875,0.30859375,0.1455078125,0.2939453125,0.24609375,0.2685546875,0.22265625,0.265625,0.2216796875,0.291015625,0.283203125,0.298828125,0.2705078125,0.2685546875,0.2529296875,0.2626953125,0.2646484375,0.259765625
41,model_40,0.25298295454545455,0.2744140625,0.224609375,0.2578125,0.25390625,0.2109375,0.2763671875,0.26171875,0.2666015625,0.2626953125,0.2353515625,0.275390625,0.2939453125,0.193359375,0.2626953125,0.224609375,0.263671875,0.271484375,0.267578125,0.2529296875,0.2470703125,0.2705078125,0.2421875,0.1708984375,0.2666015625,0.271484375,0.2744140625,0.2470703125,0.275390625,0.2705078125,0.2548828125,0.21484375,0.2529296875,0.20703125,0.2197265625,0.2685546875,0.2431640625,0.2666015625,0.2255859375,0.3115234375,0.103515625,0.302734375,0.2490234375,0.275390625,0.2099609375,0.2626953125,0.220703125,0.294921875,0.279296875,0.298828125,0.2802734375,0.2626953125,0.2529296875,0.2626953125,0.2646484375,0.2626953125
42,model_41,0.2547762784090909,0.275390625,0.23046875,0.2421875,0.259765625,0.220703125,0.27734375,0.2431640625,0.2548828125,0.26953125,0.2373046875,0.2646484375,0.283203125,0.248046875,0.2607421875,0.2392578125,0.265625,0.27734375,0.2646484375,0.2451171875,0.2451171875,0.2705078125,0.244140625,0.16796875,0.2685546875,0.267578125,0.2685546875,0.26171875,0.2685546875,0.2744140625,0.2685546875,0.2080078125,0.248046875,0.2060546875,0.201171875,0.291015625,0.248046875,0.279296875,0.2783203125,0.3076171875,0.1025390625,0.2958984375,0.259765625,0.2744140625,0.2138671875,0.2646484375,0.2158203125,0.2900390625,0.2705078125,0.2958984375,0.2880859375,0.275390625,0.2490234375,0.26953125,0.2626953125,0.251953125
43,model_42,0.2530184659090909,0.275390625,0.2138671875,0.2060546875,0.265625,0.2236328125,0.2724609375,0.24609375,0.25390625,0.2705078125,0.234375,0.2822265625,0.2470703125,0.24609375,0.26171875,0.234375,0.2705078125,0.2802734375,0.267578125,0.2509765625,0.24609375,0.271484375,0.23828125,0.1748046875,0.23046875,0.271484375,0.26953125,0.2529296875,0.2705078125,0.2607421875,0.2607421875,0.212890625,0.2470703125,0.251953125,0.201171875,0.2939453125,0.2314453125,0.2646484375,0.251953125,0.3115234375,0.12109375,0.3037109375,0.255859375,0.271484375,0.205078125,0.2685546875,0.2265625,0.2822265625,0.28125,0.29296875,0.2880859375,0.2734375,0.25390625,0.2607421875,0.259765625,0.2548828125
44,model_43,0.2527521306818182,0.26953125,0.2294921875,0.2197265625,0.265625,0.2177734375,0.2783203125,0.26171875,0.2607421875,0.26171875,0.236328125,0.2802734375,0.2353515625,0.2275390625,0.2568359375,0.2275390625,0.255859375,0.283203125,0.271484375,0.2333984375,0.234375,0.27734375,0.244140625,0.1611328125,0.25390625,0.2744140625,0.2705078125,0.263671875,0.2763671875,0.2744140625,0.24609375,0.2138671875,0.2529296875,0.228515625,0.2255859375,0.283203125,0.2265625,0.2626953125,0.259765625,0.3076171875,0.115234375,0.2958984375,0.2646484375,0.2763671875,0.1845703125,0.2666015625,0.224609375,0.2900390625,0.2763671875,0.2978515625,0.2890625,0.2724609375,0.25390625,0.26953125,0.26171875,0.2529296875
45,model_44,0.2525213068181818,0.26953125,0.23046875,0.263671875,0.236328125,0.22265625,0.2744140625,0.244140625,0.2568359375,0.267578125,0.2373046875,0.2822265625,0.21875,0.2255859375,0.2607421875,0.2490234375,0.267578125,0.2705078125,0.265625,0.2451171875,0.22265625,0.2734375,0.244140625,0.1728515625,0.25390625,0.275390625,0.263671875,0.2666015625,0.27734375,0.2724609375,0.2646484375,0.2236328125,0.2548828125,0.2119140625,0.21875,0.283203125,0.2412109375,0.2734375,0.21875,0.3046875,0.119140625,0.28515625,0.259765625,0.2744140625,0.212890625,0.2626953125,0.212890625,0.291015625,0.28125,0.2978515625,0.2802734375,0.267578125,0.2529296875,0.259765625,0.2646484375,0.2607421875
46,model_45,0.2561612215909091,0.271484375,0.2275390625,0.265625,0.2626953125,0.2216796875,0.28125,0.25,0.259765625,0.26953125,0.234375,0.2802734375,0.2734375,0.2431640625,0.26171875,0.2333984375,0.2705078125,0.2822265625,0.26953125,0.24609375,0.24609375,0.271484375,0.2421875,0.1728515625,0.22265625,0.2724609375,0.271484375,0.2607421875,0.271484375,0.2685546875,0.2685546875,0.2021484375,0.2451171875,0.2587890625,0.216796875,0.2900390625,0.25390625,0.2685546875,0.2353515625,0.3095703125,0.1240234375,0.3037109375,0.2509765625,0.2724609375,0.2099609375,0.259765625,0.2431640625,0.2939453125,0.2822265625,0.29296875,0.287109375,0.2724609375,0.251953125,0.2626953125,0.26171875,0.2666015625
47,model_46,0.2516512784090909,0.2744140625,0.2236328125,0.2626953125,0.2607421875,0.2236328125,0.265625,0.240234375,0.2578125,0.2705078125,0.2314453125,0.2841796875,0.2314453125,0.23828125,0.2607421875,0.2392578125,0.2685546875,0.2822265625,0.2763671875,0.2470703125,0.216796875,0.2587890625,0.232421875,0.1728515625,0.2109375,0.271484375,0.2763671875,0.2568359375,0.2783203125,0.271484375,0.267578125,0.216796875,0.2578125,0.236328125,0.189453125,0.2939453125,0.2353515625,0.279296875,0.1708984375,0.310546875,0.119140625,0.2939453125,0.2646484375,0.271484375,0.2138671875,0.267578125,0.2177734375,0.29296875,0.2822265625,0.296875,0.2890625,0.271484375,0.2509765625,0.255859375,0.263671875,0.24609375
48,model_47,0.25291193181818183,0.2705078125,0.2265625,0.20703125,0.263671875,0.220703125,0.267578125,0.2353515625,0.2646484375,0.2646484375,0.2392578125,0.2763671875,0.251953125,0.2255859375,0.2607421875,0.240234375,0.2734375,0.2763671875,0.2744140625,0.25,0.216796875,0.26953125,0.2421875,0.1728515625,0.2646484375,0.265625,0.26953125,0.265625,0.28125,0.26171875,0.26953125,0.1884765625,0.2607421875,0.23828125,0.23046875,0.2939453125,0.240234375,0.271484375,0.216796875,0.3056640625,0.134765625,0.294921875,0.2587890625,0.271484375,0.2060546875,0.263671875,0.2255859375,0.27734375,0.283203125,0.2978515625,0.275390625,0.2724609375,0.2529296875,0.2587890625,0.2587890625,0.263671875
49,model_48,0.25639204545454547,0.2763671875,0.2255859375,0.259765625,0.2392578125,0.2265625,0.26171875,0.240234375,0.2666015625,0.271484375,0.25,0.279296875,0.291015625,0.201171875,0.263671875,0.2353515625,0.267578125,0.287109375,0.2734375,0.251953125,0.2412109375,0.259765625,0.2431640625,0.177734375,0.2646484375,0.267578125,0.2734375,0.263671875,0.26953125,0.271484375,0.265625,0.2216796875,0.2578125,0.255859375,0.232421875,0.2822265625,0.2392578125,0.26953125,0.220703125,0.30859375,0.140625,0.296875,0.255859375,0.2744140625,0.21875,0.263671875,0.2353515625,0.2939453125,0.2744140625,0.298828125,0.2900390625,0.2705078125,0.25,0.263671875,0.263671875,0.2568359375
50,model_49,0.25422585227272726,0.2724609375,0.2392578125,0.203125,0.2666015625,0.216796875,0.2783203125,0.232421875,0.26171875,0.271484375,0.244140625,0.2802734375,0.2841796875,0.224609375,0.2626953125,0.244140625,0.26171875,0.2685546875,0.2763671875,0.2490234375,0.2158203125,0.275390625,0.2412109375,0.1669921875,0.224609375,0.251953125,0.2724609375,0.24609375,0.2783203125,0.26171875,0.267578125,0.228515625,0.2607421875,0.2470703125,0.201171875,0.2919921875,0.23046875,0.259765625,0.28515625,0.30859375,0.107421875,0.296875,0.263671875,0.2705078125,0.2197265625,0.265625,0.236328125,0.2890625,0.279296875,0.2998046875,0.28515625,0.2744140625,0.2470703125,0.2646484375,0.2646484375,0.2646484375
51,model_50,0.25459872159090907,0.2744140625,0.2314453125,0.23046875,0.267578125,0.2109375,0.2763671875,0.255859375,0.2578125,0.2705078125,0.2470703125,0.2802734375,0.2744140625,0.2236328125,0.26171875,0.2490234375,0.2734375,0.2841796875,0.2705078125,0.25,0.2431640625,0.2763671875,0.2451171875,0.1708984375,0.2646484375,0.265625,0.2705078125,0.2724609375,0.2763671875,0.2724609375,0.2431640625,0.2119140625,0.2548828125,0.208984375,0.2275390625,0.2958984375,0.2470703125,0.2783203125,0.197265625,0.2998046875,0.1162109375,0.298828125,0.26171875,0.26953125,0.205078125,0.2646484375,0.2255859375,0.291015625,0.2548828125,0.294921875,0.29296875,0.2744140625,0.2529296875,0.267578125,0.2626953125,0.2578125
52,model_51,0.25630326704545453,0.2705078125,0.2138671875,0.1943359375,0.2548828125,0.2255859375,0.2734375,0.23828125,0.2626953125,0.2705078125,0.240234375,0.28125,0.29296875,0.244140625,0.255859375,0.25,0.26171875,0.2685546875,0.263671875,0.2490234375,0.2294921875,0.275390625,0.23828125,0.158203125,0.263671875,0.271484375,0.267578125,0.263671875,0.2763671875,0.2734375,0.267578125,0.224609375,0.2490234375,0.2421875,0.203125,0.2939453125,0.23046875,0.26171875,0.2890625,0.3115234375,0.166015625,0.2998046875,0.259765625,0.275390625,0.2236328125,0.26171875,0.232421875,0.291015625,0.2783203125,0.2978515625,0.2880859375,0.2724609375,0.25,0.267578125,0.2666015625,0.263671875
53,model_52,0.25607244318181815,0.2744140625,0.2080078125,0.21484375,0.251953125,0.21875,0.2900390625,0.25390625,0.2568359375,0.2685546875,0.236328125,0.283203125,0.2841796875,0.224609375,0.259765625,0.234375,0.2744140625,0.2744140625,0.275390625,0.2421875,0.234375,0.2724609375,0.2451171875,0.1611328125,0.25390625,0.2578125,0.279296875,0.26171875,0.2705078125,0.2724609375,0.26171875,0.2265625,0.2548828125,0.251953125,0.212890625,0.2919921875,0.251953125,0.275390625,0.2509765625,0.3076171875,0.15234375,0.3037109375,0.2646484375,0.271484375,0.2197265625,0.2666015625,0.2236328125,0.2841796875,0.2783203125,0.2939453125,0.2900390625,0.267578125,0.251953125,0.26171875,0.265625,0.267578125
54,model_53,0.2546519886363636,0.2734375,0.24609375,0.1953125,0.2509765625,0.224609375,0.26953125,0.2421875,0.265625,0.2705078125,0.23828125,0.2802734375,0.2412109375,0.2021484375,0.2626953125,0.25,0.275390625,0.2763671875,0.2724609375,0.25,0.2548828125,0.275390625,0.2412109375,0.162109375,0.24609375,0.275390625,0.2724609375,0.265625,0.2734375,0.2724609375,0.2685546875,0.208984375,0.2431640625,0.2568359375,0.189453125,0.294921875,0.2353515625,0.26953125,0.2880859375,0.3095703125,0.115234375,0.298828125,0.263671875,0.2685546875,0.21484375,0.267578125,0.2353515625,0.2880859375,0.283203125,0.2841796875,0.2900390625,0.2744140625,0.25,0.2626953125,0.2607421875,0.2578125
55,model_54,0.2562322443181818,0.2646484375,0.2138671875,0.212890625,0.259765625,0.220703125,0.275390625,0.263671875,0.26953125,0.271484375,0.2412109375,0.2734375,0.287109375,0.2470703125,0.2578125,0.2373046875,0.2607421875,0.283203125,0.271484375,0.240234375,0.2392578125,0.2626953125,0.23828125,0.16796875,0.263671875,0.26953125,0.2734375,0.2724609375,0.2607421875,0.2744140625,0.2626953125,0.2216796875,0.2412109375,0.23828125,0.212890625,0.29296875,0.2451171875,0.2666015625,0.279296875,0.310546875,0.138671875,0.302734375,0.255859375,0.271484375,0.21484375,0.2685546875,0.21875,0.291015625,0.28125,0.2880859375,0.2890625,0.275390625,0.2548828125,0.26171875,0.26171875,0.2734375
56,model_55,0.2549715909090909,0.2734375,0.2236328125,0.2529296875,0.2421875,0.224609375,0.275390625,0.23046875,0.2607421875,0.263671875,0.2373046875,0.27734375,0.283203125,0.205078125,0.2626953125,0.24609375,0.26953125,0.279296875,0.2763671875,0.24609375,0.2373046875,0.2783203125,0.2412109375,0.1806640625,0.265625,0.2431640625,0.2744140625,0.25390625,0.279296875,0.275390625,0.2685546875,0.2275390625,0.2412109375,0.2021484375,0.2236328125,0.291015625,0.23828125,0.2763671875,0.236328125,0.3056640625,0.1416015625,0.2890625,0.265625,0.267578125,0.2158203125,0.2666015625,0.244140625,0.271484375,0.279296875,0.294921875,0.291015625,0.2744140625,0.2529296875,0.267578125,0.2646484375,0.2666015625
57,model_56,0.25463423295454546,0.267578125,0.205078125,0.2646484375,0.2587890625,0.2265625,0.275390625,0.2490234375,0.263671875,0.265625,0.240234375,0.2822265625,0.291015625,0.244140625,0.2470703125,0.24609375,0.2685546875,0.2841796875,0.267578125,0.2490234375,0.220703125,0.263671875,0.2421875,0.1669921875,0.201171875,0.2685546875,0.27734375,0.26171875,0.275390625,0.265625,0.2685546875,0.2255859375,0.251953125,0.2197265625,0.2236328125,0.2919921875,0.255859375,0.275390625,0.216796875,0.30859375,0.119140625,0.294921875,0.2626953125,0.275390625,0.2275390625,0.267578125,0.2373046875,0.2919921875,0.2724609375,0.2958984375,0.2880859375,0.2734375,0.25,0.2646484375,0.2607421875,0.2451171875
58,model_57,0.25324928977272726,0.2734375,0.2314453125,0.2548828125,0.2373046875,0.2216796875,0.28125,0.265625,0.265625,0.2685546875,0.2265625,0.28125,0.255859375,0.216796875,0.25,0.2119140625,0.26953125,0.27734375,0.2626953125,0.2509765625,0.236328125,0.26171875,0.2255859375,0.177734375,0.26953125,0.275390625,0.27734375,0.2705078125,0.2666015625,0.2734375,0.263671875,0.212890625,0.2578125,0.2412109375,0.19921875,0.291015625,0.23828125,0.26171875,0.240234375,0.3115234375,0.1259765625,0.3017578125,0.251953125,0.2705078125,0.1943359375,0.2626953125,0.2275390625,0.29296875,0.2578125,0.2919921875,0.291015625,0.26953125,0.25390625,0.2646484375,0.2548828125,0.2626953125
59,model_58,0.25640980113636364,0.271484375,0.2314453125,0.255859375,0.26953125,0.22265625,0.275390625,0.2509765625,0.271484375,0.2724609375,0.25,0.28515625,0.279296875,0.212890625,0.2626953125,0.2314453125,0.255859375,0.2783203125,0.2705078125,0.251953125,0.21484375,0.2724609375,0.2353515625,0.1708984375,0.2431640625,0.271484375,0.27734375,0.2587890625,0.279296875,0.26953125,0.2646484375,0.2099609375,0.26171875,0.2080078125,0.201171875,0.283203125,0.2578125,0.2763671875,0.2861328125,0.3115234375,0.1201171875,0.3037109375,0.259765625,0.275390625,0.216796875,0.255859375,0.2392578125,0.2900390625,0.2822265625,0.298828125,0.2939453125,0.2705078125,0.25390625,0.2626953125,0.2646484375,0.26171875
60,model_59,0.2536399147727273,0.2724609375,0.22265625,0.23828125,0.2685546875,0.1953125,0.2998046875,0.26171875,0.265625,0.2666015625,0.23828125,0.279296875,0.287109375,0.2080078125,0.2626953125,0.232421875,0.267578125,0.2734375,0.2509765625,0.2451171875,0.2275390625,0.265625,0.236328125,0.16796875,0.2529296875,0.248046875,0.2763671875,0.2734375,0.2783203125,0.263671875,0.2666015625,0.2119140625,0.2451171875,0.2265625,0.2333984375,0.291015625,0.2431640625,0.2529296875,0.2451171875,0.310546875,0.142578125,0.28515625,0.2646484375,0.267578125,0.18359375,0.2666015625,0.22265625,0.291015625,0.283203125,0.296875,0.27734375,0.2734375,0.25,0.2626953125,0.263671875,0.2666015625
61,model_60,0.25452769886363635,0.2763671875,0.23828125,0.2314453125,0.2646484375,0.21484375,0.275390625,0.2373046875,0.2646484375,0.267578125,0.208984375,0.2841796875,0.298828125,0.2392578125,0.2626953125,0.2421875,0.2744140625,0.279296875,0.2607421875,0.24609375,0.251953125,0.2685546875,0.2421875,0.173828125,0.2685546875,0.26171875,0.267578125,0.2470703125,0.2744140625,0.2734375,0.2626953125,0.220703125,0.2392578125,0.208984375,0.228515625,0.2958984375,0.248046875,0.2744140625,0.2158203125,0.3134765625,0.12109375,0.2958984375,0.2666015625,0.26953125,0.205078125,0.2666015625,0.234375,0.2880859375,0.283203125,0.28125,0.2802734375,0.2744140625,0.25390625,0.2529296875,0.2685546875,0.2529296875
62,model_61,0.25617897727272726,0.275390625,0.2158203125,0.23046875,0.26953125,0.22265625,0.279296875,0.2578125,0.2705078125,0.267578125,0.2353515625,0.275390625,0.23046875,0.26171875,0.259765625,0.2373046875,0.2646484375,0.2763671875,0.263671875,0.25,0.2509765625,0.2666015625,0.24609375,0.1630859375,0.228515625,0.2763671875,0.2705078125,0.2548828125,0.2744140625,0.2666015625,0.26953125,0.2265625,0.2392578125,0.263671875,0.22265625,0.287109375,0.2431640625,0.271484375,0.2548828125,0.3095703125,0.1748046875,0.298828125,0.2509765625,0.2763671875,0.2177734375,0.2685546875,0.2255859375,0.2783203125,0.279296875,0.296875,0.2744140625,0.2734375,0.2529296875,0.263671875,0.2666015625,0.26171875
63,model_62,0.25662286931818185,0.2734375,0.2080078125,0.248046875,0.2666015625,0.21484375,0.279296875,0.2587890625,0.2626953125,0.265625,0.2509765625,0.2802734375,0.28515625,0.2294921875,0.2470703125,0.2333984375,0.2705078125,0.2724609375,0.275390625,0.25,0.2255859375,0.275390625,0.2451171875,0.1640625,0.2705078125,0.2763671875,0.2744140625,0.27734375,0.2763671875,0.2734375,0.26953125,0.203125,0.2529296875,0.2587890625,0.203125,0.287109375,0.2431640625,0.2607421875,0.2294921875,0.310546875,0.1552734375,0.3017578125,0.263671875,0.2744140625,0.2216796875,0.2646484375,0.220703125,0.287109375,0.2802734375,0.2998046875,0.2919921875,0.271484375,0.2412109375,0.265625,0.267578125,0.2578125
64,model_63,0.2574396306818182,0.26953125,0.236328125,0.2548828125,0.267578125,0.224609375,0.2724609375,0.265625,0.25390625,0.271484375,0.25,0.2724609375,0.2958984375,0.263671875,0.2626953125,0.251953125,0.271484375,0.27734375,0.2734375,0.236328125,0.2255859375,0.25390625,0.2314453125,0.16015625,0.263671875,0.2705078125,0.263671875,0.2783203125,0.2763671875,0.2734375,0.2685546875,0.216796875,0.259765625,0.259765625,0.1962890625,0.28515625,0.2392578125,0.267578125,0.2421875,0.3095703125,0.1240234375,0.2880859375,0.265625,0.271484375,0.21875,0.2666015625,0.236328125,0.2939453125,0.2763671875,0.2978515625,0.291015625,0.2744140625,0.24609375,0.2666015625,0.26171875,0.2666015625
65,model_64,0.2550603693181818,0.2763671875,0.23046875,0.2548828125,0.2646484375,0.220703125,0.2763671875,0.251953125,0.26953125,0.265625,0.2421875,0.283203125,0.21484375,0.2294921875,0.2607421875,0.2470703125,0.2666015625,0.2724609375,0.2685546875,0.25,0.2294921875,0.2744140625,0.2412109375,0.162109375,0.263671875,0.2646484375,0.26953125,0.2666015625,0.2783203125,0.2646484375,0.263671875,0.2216796875,0.25390625,0.228515625,0.1875,0.2958984375,0.236328125,0.2587890625,0.2998046875,0.3076171875,0.119140625,0.302734375,0.2646484375,0.271484375,0.203125,0.2626953125,0.21875,0.2958984375,0.28125,0.2939453125,0.291015625,0.2568359375,0.2529296875,0.2646484375,0.2646484375,0.2705078125
